CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPTSHMOKNCDEFIAH00594803";1;2;2018;4;2;675;1;2;2;2
"TQRMNOPTTHLMLUCDEFIAH00622908";1;1;2018;4;2;573;1;1;1;1
"TQRMNOPTTHLMLUCDEFIAH00622908";1;2;2018;4;2;573;1;1;1;1
"TQRMNOPTUHJMLSCDEFIAH00622894";1;1;2018;4;2;514;1;2;2;2
"TQRMNOPTUHJMLSCDEFIAH00622894";1;2;2018;4;2;514;1;2;2;2
"TQRMNOPTUHMOKNCDEFIAH00594755";1;1;2018;4;2;675;1;2;2;1
"TQRMNOPTUHMOKNCDEFIAH00594755";1;2;2018;4;2;675;1;1;2;1
"TQRMNOPTUHMOKNCDEFIAH00594755";1;4;2018;4;2;675;1;1;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;1;2018;4;2;551;1;1;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;2;2018;4;2;551;1;1;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;3;2018;4;2;551;1;1;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;4;2018;4;2;551;1;1;1;1
"TQRMNOPTXHJMMLCDEFIAH00622865";1;5;2018;4;2;551;1;1;1;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;1;2018;4;2;533;1;1;2;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;2;2018;4;2;533;1;1;2;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;3;2018;4;2;533;1;1;2;1
"TQRMNOPTXHJOLTCDEFIAH00622965";1;4;2018;4;2;533;1;1;2;1
"TQRMNOPTXHJOMMCDEFIAH00622983";1;1;2018;4;2;683;1;2;2;1
"TQRMNOPTXHJOMMCDEFIAH00622983";1;2;2018;4;2;683;1;2;2;1
"TQRMNOPTYHJOLTCDEFIAH00622963";1;1;2018;4;2;533;1;2;2;1
"TQRMNOPTYHJOLTCDEFIAH00622963";1;2;2018;4;2;533;1;2;2;1
"TQRMNOPTYHJOLTCDEFIAH00622963";1;3;2018;4;2;533;1;2;2;1
"TQRMNOPUPHJOLTCDEFIAH00622990";1;1;2018;4;2;533;1;1;2;1
"TQRMNOPUPHJOLTCDEFIAH00622990";1;2;2018;4;2;533;1;1;1;1
"TQRMNOPUPHJOLTCDEFIAH00622990";1;3;2018;4;2;533;1;1;2;1
"TQRMNOPUPHJOMMCDEFIAH00622984";1;1;2018;4;2;683;1;2;2;2
"TQRMNOPUPHJOMMCDEFIAH00622984";1;2;2018;4;2;683;1;2;2;2
"TQRMNOPUPHJOMMCDEFIAH00622984";1;3;2018;4;2;683;1;1;2;1
"TQRMNOPUPHJOMMCDEFIAH00622984";1;4;2018;4;2;683;1;1;2;1
"TQRMNOPUQHJOMMCDEFIAH00623030";1;1;2018;4;2;683;1;2;2;2
"TQRMNOPUQHJOMMCDEFIAH00623030";1;2;2018;4;2;683;1;2;2;2
"TQRMNOPUQHJOMMCDEFIAH00623030";1;3;2018;4;2;683;1;1;2;1
"TQRMNOPUQHJOMMCDEFIAH00623030";1;4;2018;4;2;683;1;1;2;1
"TQRMNOPUTHKMKNCDEFIAH00622941";1;1;2018;4;2;581;1;1;2;1
"TQRMNOPUTHKMKNCDEFIAH00622941";1;2;2018;4;2;581;1;1;2;1
"TQRMNOPUTHKMKNCDEFIAH00622941";1;3;2018;4;2;581;1;1;2;1
"TQRMNOPUTHKMKNCDEFIAH00622941";1;4;2018;4;2;581;1;1;2;1
"TQRMNOPUVHLKLMCDEFIAH00622919";1;1;2018;4;2;742;1;1;1;1
"TQRMNOPUYHMMLMCDEFIAH00594788";1;1;2018;4;2;547;1;1;1;1
"TQRMNOPUYHMMLMCDEFIAH00594788";1;2;2018;4;2;547;1;1;1;1
"TQRMNOPUYHMMLMCDEFIAH00594788";1;3;2018;4;2;547;1;1;1;1
"TQRMNOPVPHMMLMCDEFIAH00594812";1;2;2018;4;2;547;2;1;1;1
"TQRMNOPVPHMMLMCDEFIAH00594812";1;3;2018;4;2;547;2;1;1;1
"TQRMNOPVPHMMLMCDEFIAH00594812";1;4;2018;4;2;547;2;1;1;1
"TQRMNOPVQHMKKQCDEFIAH00594822";2;1;2018;4;2;1347;1;2;2;1
"TQRMNOPVRHLOKRCDEFIAH00606227";1;1;2018;4;2;577;2;1;2;1
"TQRMNOPVRHLOKRCDEFIAH00606227";1;2;2018;4;2;577;2;1;2;1
"TQRMNOPVRHLOKRCDEFIAH00606227";1;3;2018;4;2;577;2;1;2;1
"TQRMNOPVRHLOKRCDEFIAH00606227";1;4;2018;4;2;577;2;1;2;2
