,codigo_vivienda,nro_hogar,tiene_computadora,acceso_internet,uso_internet,uso_computadora,uso_movil
307,TQRMNOQPTHKNKPCDEIHJF00620885,1,1,1,1,2,1
308,TQRMNOQPTHKNKPCDEIHJF00620885,1,1,1,1,2,1
309,TQRMNOQPTHMOKUCDEIHJF00598489,1,1,1,1,2,1
310,TQRMNOQPTHMOKUCDEIHJF00598489,1,1,1,1,2,1
311,TQRMNOQPTHMOKUCDEIHJF00598489,1,1,1,1,2,2
312,TQRMNOQPUHKNKPCDEIHJF00620889,1,1,1,1,1,1
313,TQRMNOQPUHKNKPCDEIHJF00620889,1,1,1,1,1,1
314,TQRMNOQPUHKNKPCDEIHJF00620889,1,1,1,1,1,1
315,TQRMNOQPUHKNKPCDEIHJF00620889,1,1,1,1,1,1
316,TQRMNOQPUHKNKPCDEIHJF00620889,1,1,1,1,1,1
317,TQRMNOQPUHMMKPCDEIHJF00598543,1,1,1,1,1,1
318,TQRMNOQPUHMMKPCDEIHJF00598543,1,1,1,1,1,1
319,TQRMNOQPVHMMKPCDEIHJF00598500,2,1,1,1,1,1
320,TQRMNOQPVHMMKPCDEIHJF00598500,2,1,1,1,1,1
321,TQRMNOQPWHMMKPCDEIHJF00598503,2,1,1,1,1,1
322,TQRMNOQPWHMMKPCDEIHJF00598503,2,1,1,1,1,1
323,TQRMNOQPXHMMKPCDEIHJF00598508,1,1,1,1,1,1
324,TQRMNOQPXHMMKPCDEIHJF00598508,1,1,1,1,1,1
325,TQRMNOQPXHMMKPCDEIHJF00598508,1,1,1,1,2,1
326,TQRMNOQQPHMOKOCDEIHJF00598461,1,1,1,1,2,1
327,TQRMNOQQPHMOKOCDEIHJF00598461,1,1,1,1,2,1
328,TQRMNOQQRHMOKQCDEIHJF00598474,1,1,1,1,1,1
329,TQRMNOQQRHMOKQCDEIHJF00598474,1,1,1,1,1,1
330,TQRMNOQQRHMOKQCDEIHJF00598474,1,1,1,1,1,1
331,TQRMNOQQRHMOKQCDEIHJF00598474,1,1,1,1,1,1
332,TQRMNOQQRHMOKQCDEIHJF00598474,1,1,1,1,1,1
333,TQRMNOQQRHMOKRCDEIHJF00598452,1,1,1,1,1,1
334,TQRMNOQQRHMOKRCDEIHJF00598452,1,1,1,1,1,1
335,TQRMNOQQRHMOKRCDEIHJF00598452,1,1,1,1,1,1
336,TQRMNOQQSHMOKQCDEIHJF00598475,1,1,1,1,2,1
337,TQRMNOQQSHMOKQCDEIHJF00598475,1,1,1,1,2,1
338,TQRMNOQQSHMOKQCDEIHJF00598475,1,1,1,1,2,1
339,TQRMNOQQSHMOKQCDEIHJF00598475,1,1,1,1,2,2
340,TQRMNOQQTHKMKTCDEIHJF00620939,1,1,1,1,2,1
341,TQRMNOQQTHKMKTCDEIHJF00620939,1,1,1,1,1,1
342,TQRMNOQQTHKMKTCDEIHJF00620939,1,1,1,1,2,2
343,TQRMNOQQTHMOKQCDEIHJF00598515,1,2,1,1,1,1
344,TQRMNOQQTHMOKQCDEIHJF00598515,1,2,1,1,1,1
345,TQRMNOQQTHMOKQCDEIHJF00598515,1,2,1,1,1,1
346,TQRMNOQQTHMOKRCDEIHJF00604119,1,2,1,1,1,1
347,TQRMNOQQUHKMKTCDEIHJF00620897,1,2,2,1,2,1
348,TQRMNOQQUHKMKTCDEIHJF00620897,1,2,2,1,2,1
